0.000,GOAL,SET-BUFFER-CHUNK,GOAL
0.000,PROCEDURAL,CONFLICT-RESOLUTION,
0.000,PROCEDURAL,PRODUCTION-SELECTED,INIT-AGENT
0.000,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.050,PROCEDURAL,PRODUCTION-FIRED,INIT-AGENT
0.050,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.050,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.050,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.050,DECLARATIVE,start-retrieval,
0.050,PROCEDURAL,CONFLICT-RESOLUTION,
0.100,DECLARATIVE,RETRIEVED-CHUNK,B
0.100,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.100,PROCEDURAL,CONFLICT-RESOLUTION,
0.100,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.100,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.100,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.150,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.150,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.150,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.150,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.150,DECLARATIVE,start-retrieval,
0.150,PROCEDURAL,CONFLICT-RESOLUTION,
0.200,DECLARATIVE,RETRIEVED-CHUNK,C
0.200,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.200,PROCEDURAL,CONFLICT-RESOLUTION,
0.200,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.200,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.200,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.250,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.250,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.250,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.250,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.250,DECLARATIVE,start-retrieval,
0.250,PROCEDURAL,CONFLICT-RESOLUTION,
0.300,DECLARATIVE,RETRIEVED-CHUNK,D
0.300,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.300,PROCEDURAL,CONFLICT-RESOLUTION,
0.300,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.300,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.300,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.350,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.350,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.350,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.350,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.350,DECLARATIVE,start-retrieval,
0.350,PROCEDURAL,CONFLICT-RESOLUTION,
0.400,DECLARATIVE,RETRIEVED-CHUNK,E
0.400,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.400,PROCEDURAL,CONFLICT-RESOLUTION,
0.400,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.400,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.400,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.450,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.450,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.450,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.450,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.450,DECLARATIVE,start-retrieval,
0.450,PROCEDURAL,CONFLICT-RESOLUTION,
0.500,DECLARATIVE,RETRIEVED-CHUNK,F
0.500,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.500,PROCEDURAL,CONFLICT-RESOLUTION,
0.500,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.500,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.500,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.550,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.550,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.550,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.550,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.550,DECLARATIVE,start-retrieval,
0.550,PROCEDURAL,CONFLICT-RESOLUTION,
0.600,DECLARATIVE,RETRIEVED-CHUNK,G
0.600,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.600,PROCEDURAL,CONFLICT-RESOLUTION,
0.600,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.600,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.600,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.650,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.650,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.650,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.650,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.650,DECLARATIVE,start-retrieval,
0.650,PROCEDURAL,CONFLICT-RESOLUTION,
0.700,DECLARATIVE,RETRIEVED-CHUNK,H
0.700,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.700,PROCEDURAL,CONFLICT-RESOLUTION,
0.700,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.700,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.700,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.750,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.750,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.750,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.750,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.750,DECLARATIVE,start-retrieval,
0.750,PROCEDURAL,CONFLICT-RESOLUTION,
0.800,DECLARATIVE,RETRIEVED-CHUNK,I
0.800,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.800,PROCEDURAL,CONFLICT-RESOLUTION,
0.800,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.800,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.800,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.850,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.850,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.850,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.850,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.850,DECLARATIVE,start-retrieval,
0.850,PROCEDURAL,CONFLICT-RESOLUTION,
0.900,DECLARATIVE,RETRIEVED-CHUNK,J
0.900,DECLARATIVE,SET-BUFFER-CHUNK,RETRIEVAL
0.900,PROCEDURAL,CONFLICT-RESOLUTION,
0.900,PROCEDURAL,PRODUCTION-SELECTED,INCREMENT
0.900,PROCEDURAL,BUFFER-READ-ACTION,GOAL
0.900,PROCEDURAL,BUFFER-READ-ACTION,RETRIEVAL
0.950,PROCEDURAL,PRODUCTION-FIRED,INCREMENT
0.950,PROCEDURAL,MOD-BUFFER-CHUNK,GOAL
0.950,PROCEDURAL,MODULE-REQUEST,RETRIEVAL
0.950,PROCEDURAL,CLEAR-BUFFER,RETRIEVAL
0.950,DECLARATIVE,start-retrieval,
0.950,PROCEDURAL,CONFLICT-RESOLUTION,
0.950,PROCEDURAL,PRODUCTION-SELECTED,STOP
0.950,PROCEDURAL,BUFFER-READ-ACTION,GOAL
1.000,DECLARATIVE,RETRIEVAL-FAILURE,
1.000,PROCEDURAL,PRODUCTION-FIRED,STOP
1.000,PROCEDURAL,CLEAR-BUFFER,GOAL
1.000,PROCEDURAL,CONFLICT-RESOLUTION,
