0.000,perception.chunk,62
0.000,production,moveToBeacon
0.050,production,None
0.050,motor,Pressing
0.050,production,moveToBeacon
0.050,perception.chunk,62
0.100,production,None
0.100,production,moveToBeacon
0.100,perception.chunk,62
0.150,production,None
0.150,production,moveToBeacon
0.150,perception.chunk,62
0.200,production,None
0.200,production,moveToBeacon
0.200,perception.chunk,62
0.250,production,None
0.250,production,moveToBeacon
0.250,perception.chunk,62
0.300,motor,Pressing
0.300,production,None
0.300,production,moveToBeacon
0.300,perception.chunk,62
0.350,motor,Pressing
0.350,production,None
0.350,production,moveToBeacon
0.350,perception.chunk,62
0.400,production,None
0.400,production,moveToBeacon
0.400,perception.chunk,62
0.450,motor,Actually
0.450,motor,Finishing
0.450,production,None
0.450,production,moveToBeacon
0.450,perception.chunk,62
0.500,production,None
0.500,production,moveToBeacon
0.500,perception.chunk,62
0.550,production,None
0.550,production,moveToBeacon
0.550,perception.chunk,62
0.600,motor,Finished
0.600,production,None
0.600,motor,Pressing
0.600,production,moveToBeacon
0.600,perception.chunk,62
0.650,production,None
0.650,production,moveToBeacon
0.650,perception.chunk,62
0.700,production,None
0.700,production,moveToBeacon
0.700,perception.chunk,30
0.750,production,None
0.750,production,moveToBeacon
0.750,perception.chunk,30
0.800,production,None
0.800,production,moveToBeacon
0.800,perception.chunk,30
0.850,motor,Pressing
0.850,production,None
0.850,production,moveToBeacon
0.850,perception.chunk,30
0.900,motor,Pressing
0.900,production,None
0.900,production,moveToBeacon
0.900,perception.chunk,30
0.950,production,None
0.950,production,moveToBeacon
0.950,perception.chunk,30
1.000,motor,Actually
1.000,motor,Finishing
1.000,production,None
1.000,production,moveToBeacon
1.000,perception.chunk,30
1.050,production,None
1.050,production,moveToBeacon
1.050,perception.chunk,30
1.100,production,None
1.100,production,moveToBeacon
1.100,perception.chunk,30
1.150,motor,Finished
1.150,production,None
1.150,motor,Pressing
1.150,production,moveToBeacon
1.150,perception.chunk,30
1.200,production,None
1.200,production,moveToBeacon
1.200,perception.chunk,30
1.250,production,None
1.250,production,moveToBeacon
1.250,perception.chunk,30
1.300,production,None
1.300,production,moveToBeacon
1.300,perception.chunk,30
1.350,production,None
1.350,production,moveToBeacon
1.350,perception.chunk,30
1.400,motor,Pressing
1.400,production,None
1.400,production,moveToBeacon
1.400,perception.chunk,30
1.450,motor,Pressing
1.450,production,None
1.450,production,moveToBeacon
1.450,perception.chunk,30
1.500,production,None
1.500,production,moveToBeacon
1.500,perception.chunk,30
1.550,motor,Actually
1.550,motor,Finishing
1.550,production,None
1.550,production,moveToBeacon
1.550,perception.chunk,30
1.600,production,None
1.600,production,moveToBeacon
1.600,perception.chunk,30
1.650,production,None
1.650,production,moveToBeacon
1.650,perception.chunk,30
1.700,motor,Finished
1.700,production,None
1.700,motor,Pressing
1.700,production,moveToBeacon
1.700,perception.chunk,30
1.750,production,None
1.750,production,moveToBeacon
1.750,perception.chunk,30
1.800,production,None
1.800,production,moveToBeacon
1.800,perception.chunk,30
1.850,production,None
1.850,production,moveToBeacon
1.850,perception.chunk,30
1.900,production,None
1.900,production,moveToBeacon
1.900,perception.chunk,30
1.950,motor,Pressing
1.950,production,None
1.950,production,moveToBeacon
1.950,perception.chunk,10
2.000,motor,Pressing
2.000,production,None
2.000,production,moveToBeacon
2.000,perception.chunk,10
2.050,production,None
2.050,production,moveToBeacon
2.050,perception.chunk,10
2.100,production,None
2.100,production,moveToBeacon
2.100,perception.chunk,10
2.100,motor,Actually
2.100,motor,Finishing
2.150,production,None
2.150,production,moveToBeacon
2.150,perception.chunk,10
2.200,production,None
2.200,production,moveToBeacon
2.200,perception.chunk,10
2.250,production,None
2.250,production,moveToBeacon
2.250,perception.chunk,10
2.250,motor,Finished
2.300,production,None
2.300,motor,Pressing
2.300,production,moveToBeacon
2.300,perception.chunk,10
2.350,production,None
2.350,production,moveToBeacon
2.350,perception.chunk,10
2.400,production,None
2.400,production,moveToBeacon
2.400,perception.chunk,10
2.450,production,None
2.450,production,moveToBeacon
2.450,perception.chunk,10
2.500,production,None
2.500,production,moveToBeacon
2.500,perception.chunk,10
2.550,production,None
2.550,production,moveToBeacon
2.550,perception.chunk,10
2.550,motor,Pressing
2.600,production,None
2.600,production,moveToBeacon
2.600,perception.chunk,10
2.600,motor,Pressing
2.650,production,None
2.650,production,moveToBeacon
2.650,perception.chunk,10
2.700,production,None
2.700,production,moveToBeacon
2.700,perception.chunk,10
2.700,motor,Actually
2.700,motor,Finishing
2.750,production,None
2.750,production,moveToBeacon
2.750,perception.chunk,10
2.800,production,None
2.800,production,moveToBeacon
2.800,perception.chunk,10
2.850,production,None
2.850,production,moveToBeacon
2.850,perception.chunk,10
2.850,motor,Finished
2.900,production,None
2.900,motor,Pressing
2.900,production,moveToBeacon
2.900,perception.chunk,10
2.950,production,None
2.950,production,moveToBeacon
2.950,perception.chunk,13
3.000,production,None
3.000,production,moveToBeacon
3.000,perception.chunk,13
3.050,production,None
3.050,production,moveToBeacon
3.050,perception.chunk,13
3.100,production,None
3.100,production,moveToBeacon
3.100,perception.chunk,13
3.150,production,None
3.150,production,moveToBeacon
3.150,perception.chunk,13
3.150,motor,Pressing
3.200,production,None
3.200,production,moveToBeacon
3.200,perception.chunk,13
3.200,motor,Pressing
3.250,production,None
3.250,production,moveToBeacon
3.250,perception.chunk,13
3.300,production,None
3.300,production,moveToBeacon
3.300,perception.chunk,13
3.300,motor,Actually
3.300,motor,Finishing
3.350,production,None
3.350,production,moveToBeacon
3.350,perception.chunk,13
3.400,production,None
3.400,production,moveToBeacon
3.400,perception.chunk,13
3.450,production,None
3.450,production,moveToBeacon
3.450,perception.chunk,13
3.450,motor,Finished
3.500,production,None
3.500,motor,Pressing
3.500,production,moveToBeacon
3.500,perception.chunk,13
3.550,production,None
3.550,production,moveToBeacon
3.550,perception.chunk,13
3.600,production,None
3.600,production,moveToBeacon
3.600,perception.chunk,13
3.650,production,None
3.650,production,moveToBeacon
3.650,perception.chunk,13
3.700,production,None
3.700,production,moveToBeacon
3.700,perception.chunk,13
3.750,production,None
3.750,production,moveToBeacon
3.750,perception.chunk,13
3.750,motor,Pressing
3.800,production,None
3.800,production,moveToBeacon
3.800,perception.chunk,13
3.800,motor,Pressing
3.850,production,None
3.850,production,moveToBeacon
3.850,perception.chunk,13
3.900,production,None
3.900,production,moveToBeacon
3.900,perception.chunk,13
3.900,motor,Actually
3.900,motor,Finishing
3.950,production,None
3.950,production,moveToBeacon
3.950,perception.chunk,13
4.000,production,None
4.000,production,moveToBeacon
4.000,perception.chunk,13
4.050,production,None
4.050,production,moveToBeacon
4.050,perception.chunk,13
4.050,motor,Finished
4.100,production,None
4.100,motor,Pressing
4.100,production,moveToBeacon
4.100,perception.chunk,13
4.150,production,None
4.150,production,moveToBeacon
4.150,perception.chunk,13
4.200,production,None
4.200,production,moveToBeacon
4.200,perception.chunk,60
4.250,production,None
4.250,production,moveToBeacon
4.250,perception.chunk,60
4.300,production,None
4.300,production,moveToBeacon
4.300,perception.chunk,60
4.350,production,None
4.350,production,moveToBeacon
4.350,perception.chunk,60
4.350,motor,Pressing
4.400,production,None
4.400,production,moveToBeacon
4.400,perception.chunk,60
4.400,motor,Pressing
4.450,production,None
4.450,production,moveToBeacon
4.450,perception.chunk,60
4.500,production,None
4.500,production,moveToBeacon
4.500,perception.chunk,60
4.500,motor,Actually
4.500,motor,Finishing
4.550,production,None
4.550,production,moveToBeacon
4.550,perception.chunk,60
4.600,production,None
4.600,production,moveToBeacon
4.600,perception.chunk,60
4.650,production,None
4.650,production,moveToBeacon
4.650,perception.chunk,60
4.650,motor,Finished
4.700,production,None
4.700,motor,Pressing
4.700,production,moveToBeacon
4.700,perception.chunk,60
4.750,production,None
4.750,production,moveToBeacon
4.750,perception.chunk,60
4.800,production,None
4.800,production,moveToBeacon
4.800,perception.chunk,60
4.850,production,None
4.850,production,moveToBeacon
4.850,perception.chunk,60
4.900,production,None
4.900,production,moveToBeacon
4.900,perception.chunk,60
4.950,production,None
4.950,production,moveToBeacon
4.950,perception.chunk,60
4.950,motor,Pressing
5.000,production,None
5.000,production,moveToBeacon
5.000,perception.chunk,60
5.000,motor,Pressing
5.050,production,None
5.050,production,moveToBeacon
5.050,perception.chunk,60
5.050,perception.chunk,52
5.100,production,None
5.100,production,moveToBeacon
